"node","lagoon","station","season","date_time","water_column_position","dissolved_organic_carbon_umol_L","total_dissolved_nitrogen_umol_L","chlorophyll_a_ug_L","conductivity_uS_cm","depth_m","DO_concentration_mg_L","DO_saturation_percent","phycoerythrin_ug_L","pH","salinity","specific_conductivity_uS_cm","temperature_C","notes.x","d18O","notes.y","collection_method","station_name","latitude","longitude","habitat_type","station_sampling_priority"
"Central","Stefansson","SSLD1_Aux_2019","break up",2019-06-27,"bottom",123,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2019",70.32078,-147.73377,"lagoon","not applicable"
"Central","Stefansson","SSLD1_Aux_2019","break up",2019-06-27,"surface",125,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2019",70.32078,-147.73377,"lagoon","not applicable"
"Central","Stefansson","SSLD1_Aux_2021","break up",2021-06-23,"bottom",261,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2021",70.36744,-148.04017,"lagoon","not applicable"
"Central","Stefansson","SSLD1_Aux_2021","break up",2021-06-23,"surface",141,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.9,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2021",70.36744,-148.04017,"lagoon","not applicable"
"Central","Stefansson","SSLD2","open water",2018-07-30,"bottom",NA,NA,3,18930,2.8,11.31,96.6,8.95,7.79,19.95,32330,3.2,NA,NA,NA,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2018-07-30,"surface",NA,NA,1.3,9280,0,11.46,101.4,4.2,8.08,7.94,13766,8,NA,NA,NA,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2018-07-31,"bottom",NA,NA,11.59,22480,3.8,11.21,98.4,30.68,7.66,25.1,40738,1.4,NA,NA,NA,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2018-07-31,"surface",NA,NA,2.05,8688,0,10.91,105.9,6.21,8.04,6.59,11458,12.2,NA,NA,NA,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","under ice",2019-04-19,"bottom",123,12,0.5,25610,4.07,11.83,96.5,4.35,7.62,32.42,52600,-1.9,NA,-2.8,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","under ice",2019-04-19,"surface",85,10,0.47,25600,1.76,11.89,97,4.5,7.63,32.46,52666,-1.9,NA,-2.7,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
