node,lagoon,station,season,date_collected,water_column_position,ammonia_umol_N_L,phosphate_umol_P_L,silicate_umol_SiO2_L,nitrate_nitrite_umol_N_L,flag_NH3,flag_PO4,flag_SiO2,flag_NO23,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
West,Elson East,NNR1,open water,2018-07-27,surface,0.1,NA,NA,1.4,VALID,NS,NS,VALID,pump,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson East,NNR1,break up,2019-06-24,surface,0.2,2.5,0.2,NA,VALID,VALID,VALID,BD,grab,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson East,NNR1,open water,2019-08-02,surface,0.2,NA,4.3,NA,VALID,BD,VALID,BD,grab,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson West,EWLD1,open water,2018-07-28,bottom,0.1,2,NA,1.4,VALID,VALID,NS,VALID,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-28,surface,NA,NA,NA,0.7,NS,NS,NS,VALID,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,bottom,3.7,2.8,22.1,5,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,surface,3,6.4,23.5,3.6,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,bottom,14.8,1.6,4.8,1.4,VALID,VALID,VALID,BD,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,surface,NA,3.1,5.4,2.1,HIGH,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,bottom,1.3,1.5,6.2,0.7,VALID,VALID,VALID,BD,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,surface,0.3,1,3,0,VALID,VALID,VALID,BD,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,bottom,0.9,3.7,7.3,1.4,VALID,VALID,VALID,BD,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,surface,0.8,3,4.6,0.7,VALID,VALID,VALID,BD,grab,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD2,under ice,2019-04-15,bottom,3.1,2.3,20,3.6,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,under ice,2019-04-15,surface,3,5.8,23.2,3.6,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,bottom,0.9,2.9,4.9,2.1,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,surface,0.8,1.9,3.1,0,VALID,VALID,VALID,BD,grab,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLS1,open water,2018-07-29,surface,0.7,1,NA,1.4,VALID,VALID,NS,VALID,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,break up,2019-06-25,surface,0.3,0.4,0.4,NA,VALID,VALID,VALID,BD,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,open water,2019-08-05,surface,1,2.8,5.9,1.4,VALID,VALID,VALID,VALID,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS2,break up,2019-06-22,surface,NA,3.6,4,3.6,HIGH,VALID,VALID,VALID,pump,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,EWLS2,open water,2019-08-05,surface,6.2,2.8,3,1.4,VALID,VALID,VALID,BD,pump,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,MYR1,open water,2018-07-27,surface,0.1,NA,NA,1.4,VALID,NS,NS,VALID,pump,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
West,Elson West,MYR1,break up,2019-06-24,surface,9.7,1.7,1.8,19.3,VALID,VALID,VALID,VALID,grab,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
West,Elson West,MYR1,open water,2019-08-02,surface,0.6,0.1,24,0.7,VALID,BD,VALID,BD,grab,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
