node,lagoon,station,season,date_collected,pigment,areal_concentration_mg_m2,mass_concentration_ug_g,flag,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Stefansson,STLS1,open water,2019-08-03,Pheophytin,22.8398182762814,0.478214342235503,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Peridinin,0.162036119720203,0.00339267131958137,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,Fucoxanthin,41.347885481391,0.865731575406021,OK,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Pheophorbide,75.3185108002557,2.56191874257632,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Fucoxanthin,91.5602474616285,3.11437270273373,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Chlorophyll a,189.493815027092,6.44553047002821,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Pheophytin,107.206283853342,3.64656423776372,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Peridinin,0.44311977981946,0.0150724816126066,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Chlorophyllide,14.7543271402551,0.501860523171598,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Alloxanthin,3.68079355650909,0.125200218376367,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-08,Zeaxanthin,4.6739646395192,0.15898240000893,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Chlorophyll a,190.023862886083,6.91499589629671,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Pheophytin,52.3070493927529,1.90346110433041,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Peridinin,0.205931672381105,0.00749388338814341,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Chlorophyllide,14.3339656607888,0.521615086740097,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Pheophorbide,23.4352840854172,0.852813382582152,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Alloxanthin,1.86061521923905,0.0677080573471886,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Zeaxanthin,2.47667424726962,0.0901265346163396,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,Fucoxanthin,92.7381449076219,3.37475452675549,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Chlorophyll a,180.576653517603,5.86560650193506,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Peridinin,0.841260925573152,0.0273263761330296,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Fucoxanthin,83.0640695950686,2.69814030331737,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Alloxanthin,5.08665163361302,0.165227875885354,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Pheophytin,79.5995340920193,2.58560304239792,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Chlorophyllide,15.4097014398923,0.500547790636175,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Pheophorbide,49.2686985902646,1.60037741958023,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,Zeaxanthin,2.56265947554829,0.0832419462273191,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Alloxanthin,1.83814875989609,0.0633810143446984,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Zeaxanthin,1.91933924963937,0.0661805350947833,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Chlorophyllide,9.14128225921812,0.315199593548235,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Pheophorbide,34.9722290473456,1.20587375694293,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Chlorophyll a,170.998455253033,5.89617977705266,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Pheophytin,42.2171393761082,1.4556847491171,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Peridinin,0.396944954820384,0.0136870172993771,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,Fucoxanthin,64.6282366148588,2.22843943935772,OK,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Alloxanthin,0.83369055804759,0.0257799551274593,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Zeaxanthin,1.30641937732485,0.0403980021123802,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Chlorophyll a,179.481833091599,5.55006118113124,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Pheophytin,48.4737929726245,1.49894009909211,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Peridinin,0.254587376538391,0.0078725266585095,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Fucoxanthin,99.9886509153195,3.0919181091469,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Chlorophyllide,17.8457026040617,0.551837138983685,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2018-08-08,Pheophorbide,24.2663948907061,0.750382219576369,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Pheophytin,101.031793683321,3.01273319653793,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Chlorophyll a,323.071383032423,9.63387707006423,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Chlorophyllide,12.534191809929,0.373765271117631,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
